dataset,exchange,symbol,timeframe,strategy,strategy_params,position_mode,fee_bps,slippage_bps,spread_bps,execution_delay,total_return,cagr,sharpe,sortino,calmar,profit_factor,win_rate,max_drawdown,trades_count,avg_trade,median_trade,exposure,buy_hold_total_return,buy_hold_cagr,buy_hold_sharpe,buy_hold_max_drawdown,excess_total_return_vs_buy_hold,excess_cagr_vs_buy_hold,excess_sharpe_vs_buy_hold,train_total_return,train_cagr,train_sharpe,train_max_drawdown,train_trades_count,train_exposure,test_total_return,test_cagr,test_sharpe,test_max_drawdown,test_trades_count,test_exposure,test_minus_train_cagr,test_minus_train_sharpe,performance_score,performance_rank
nobitex_BTCUSDT_1d,nobitex,BTCUSDT,1d,atr_breakout,"window=20, atr_multiple=1.5",long_only_spot,10.0,2.0,0.0,1,2.7147184733105254,0.13204593236757445,0.6158014694766148,0.46662203470520963,0.2523195358308697,1.2121987411087136,0.14577938891765924,-0.5233282152836755,61.0,0.029789053116316917,-0.016181799463234614,0.27550491973070945,8.678978546049093,0.2392854651628502,0.6966982835332477,-0.7662925431645939,-5.9642600727385675,-0.10723953279527576,-0.08089681405663285,4.47634661111644,0.2440702191802775,0.9052039852276043,-0.5233282152836755,45.0,0.2997888810696692,-0.3216794448747966,-0.12967759554898417,-1.1212527010308804,-0.3600678547432975,16.0,0.20784313725490197,-0.37374781472926166,-2.0264566862584847,71.48351648351648,11
nobitex_BTCUSDT_1h,nobitex,BTCUSDT,1h,ema_trend,"fast=20, slow=100",long_only_spot,10.0,2.0,0.0,1,2.614207345488884,0.12917563193000148,0.5026878389626837,0.5283219070622742,0.18804563275431244,1.0210083079480843,0.26118492773646207,-0.6869376865495915,678.0,0.0030476635713862594,-0.00627376311185468,0.5247768411281531,8.342909515303418,0.2352687523242305,0.6571315377881434,-0.7719848663243958,-5.728702169814534,-0.10609312039422902,-0.15444369882545972,4.646127042755687,0.24908429755672334,0.7433311063249927,-0.6869376865495915,483.0,0.5324082901858398,-0.35897229632048544,-0.14716709972779662,-0.24384275991330653,-0.45918767008847683,196.0,0.503473641193298,-0.39625139728451997,-0.9871738662382992,71.31868131868131,12
binance_BTCUSDT_4h,binance,BTCUSDT,4h,donchian_breakout,window=55,long_only_spot,10.0,2.0,0.0,1,0.5464207265519563,0.10768545238177385,0.4799123169454048,0.45628485932501966,0.24165212484366974,1.044704255834087,0.2546331012319229,-0.4456217897998539,37.0,0.0223302573549435,-0.030654680057651706,0.5031601499732191,0.5114469206970549,0.10175681950586091,0.44276954183994455,-0.6721392902034942,0.034973805854901396,0.0059286328759129425,0.03714277510546027,0.7322097355626052,0.2133381281429927,0.7270998118227263,-0.4456217897998539,24.0,0.5361620057859209,-0.10725549290964387,-0.07671345929507734,-0.2012684260905632,-0.3120676515199503,13.0,0.4371988435592676,-0.29005158743807,-0.9283682379132895,71.2087912087912,13
nobitex_BTCIRT_1d,nobitex,BTCIRT,1d,rsi_mean_reversion,"window=14, entry=30, exit=50",long_only_spot,10.0,2.0,0.0,1,0.26747328870240916,0.10480716857474004,0.6401818380853556,0.43715714134655487,0.6025649380814789,1.230423393674809,0.09216589861751152,-0.17393505986000135,12.0,0.0211183364185675,0.023735501273410176,0.17626728110599077,4.689985647913636,1.077444676222835,1.8203259821661768,-0.32931171962401173,-4.422512359211226,-0.9726375076480949,-1.1801441440808214,0.05601054488970969,0.055853314401510534,0.36114266214022744,-0.17393505986000135,5.0,0.20491803278688525,0.20024681082591345,0.14192337095297858,0.9338229131168184,-0.11283297343404797,7.0,0.1553784860557769,0.08607005655146804,0.5726802509765909,70.93406593406594,14
binance_BTCUSDT_4h,binance,BTCUSDT,4h,ema_trend,"fast=20, slow=100",long_only_spot,10.0,2.0,0.0,1,0.5359659445263676,0.10592404326469507,0.47550149197548647,0.4520530435615745,0.21785299090438895,1.0444165842659923,0.2561328334226031,-0.4862179895945651,53.0,0.015763185960967065,-0.025988915702508608,0.5050883770755222,0.5114469206970549,0.10175681950586091,0.44276954183994455,-0.6721392902034942,0.024519023829312703,0.00416722375883416,0.03273195013554192,0.8133944215941995,0.23305741303555738,0.7755194662937409,-0.4862179895945651,35.0,0.532304725168756,-0.1529884915075157,-0.1102458420670519,-0.34862563926734397,-0.35799307792646684,18.0,0.45069065210407966,-0.3433032551026093,-1.124145105561085,69.78021978021978,15
binance_BTCUSDT_1h,binance,BTCUSDT,1h,donchian_breakout,window=55,long_only_spot,10.0,2.0,0.0,1,0.5293942290018685,0.10482099448792437,0.46540966754377805,0.43415348777986007,0.21268623158857278,1.0219902309484368,0.26164394568390603,-0.4928433481801189,159.0,0.0046289341726361176,-0.016140377297805153,0.5193775611323888,0.5216614644971853,0.10350784563583892,0.44714571863479013,-0.6737711687834638,0.007732764504683187,0.001313148852085444,0.018263948908987915,1.5560877485934959,0.39143524114375006,1.1153657555802214,-0.31931468578306,102.0,0.5211958050387753,-0.40258662855390837,-0.3040407484332345,-1.073217202965589,-0.4928433481801213,58.0,0.5156626506024097,-0.6954759895769845,-2.1885829585458105,68.02197802197803,16
binance_BTCUSDT_1d,binance,BTCUSDT,1d,atr_breakout,"window=20, atr_multiple=1.5",long_only_spot,10.0,2.0,0.0,1,0.3792552666496023,0.07834383724209038,0.4129379447474521,0.3434788863691968,0.1731221941101924,1.1165757551309121,0.16259640102827763,-0.4525349141094207,34.0,0.018538226594511698,-0.030814353661547333,0.32840616966580977,0.4974383785288714,0.09934151486797993,0.4404665889368611,-0.6673056490171775,-0.11818311187926911,-0.020997677625889555,-0.02752864418940898,0.7486024144092687,0.2173673260613056,0.7944064172147897,-0.4525349141094207,24.0,0.3461909353905497,-0.2112242009481854,-0.15368902580543675,-0.8005992888205749,-0.3559389653318119,10.0,0.2928709055876686,-0.37105635186674235,-1.5950057060353644,66.48351648351648,17
binance_BTCUSDT_1d,binance,BTCUSDT,1d,bollinger_mean_reversion,"window=20, z_entry=-2.0, z_exit=0.0",long_only_spot,10.0,2.0,0.0,1,0.19412823500951348,0.042495754541193476,0.2879582388039588,0.20445362053569124,0.1224777914260021,1.0966174844094227,0.11375321336760925,-0.34696702190999507,27.0,0.009718178017332895,0.009644560040206418,0.2300771208226221,0.4974383785288714,0.09934151486797993,0.4404665889368611,-0.6673056490171775,-0.3033101435193579,-0.056845760326786454,-0.15250835013290226,0.5214225539905297,0.15917159205540887,0.657418792235584,-0.34696702190999507,16.0,0.20925747348119575,-0.2151238774018165,-0.15663378371606318,-0.4453805482456614,-0.33553709275336474,11.0,0.27167630057803466,-0.31580537577147205,-1.1027993404812455,66.37362637362638,18
binance_BTCUSDT_4h,binance,BTCUSDT,4h,atr_breakout,"window=20, atr_multiple=1.5",long_only_spot,10.0,2.0,0.0,1,0.3229859291173449,0.06786652589799269,0.38017201211397095,0.2886065811956113,0.16180532379014964,1.0461915290693298,0.15265131226566683,-0.4194332071916923,170.0,0.002904956008801876,-0.009031596910316964,0.3043385109801821,0.5114469206970549,0.10175681950586091,0.44276954183994455,-0.6721392902034942,-0.18846099157970997,-0.033890293607868216,-0.0625975297259736,1.029966777115619,0.28300688521381234,1.0123337692157703,-0.37471604388918966,107.0,0.31115396978463516,-0.3482721273905893,-0.26006193463341487,-1.2831920620034956,-0.4194332071916923,63.0,0.2907163507870222,-0.5430688198472272,-2.295525831219266,66.26373626373626,19
nobitex_BTCUSDT_1h,nobitex,BTCUSDT,1h,donchian_breakout,window=55,long_only_spot,10.0,2.0,0.0,1,0.9448590642567414,0.06491532851406623,0.3577648678443814,0.3748158014287879,0.08063569173934133,1.0148529041677392,0.2696471553315272,-0.8050446038698109,365.0,0.0040355628513632355,-0.013121879251154822,0.5410860578324177,8.342909515303418,0.2352687523242305,0.6571315377881434,-0.7719848663243958,-7.398050451046677,-0.17035342381016427,-0.299366669943762,1.5183347794081135,0.12600080198312225,0.49309648455421706,-0.8050446038698109,269.0,0.5498188538656732,-0.22662691656573297,-0.08789577639094337,-0.06259201223282465,-0.32363685915449647,97.0,0.51671434409481,-0.21389657837406562,-0.5556884967870417,66.15384615384616,20
